date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-07-14,36.9925,37.3325,36.8325,37.259998,35.587654,8.05284E7,8.05284E7,0.2675,0.723,37.14167,"July 14, 17",0.00723
2017-07-13,36.375,37.122501,36.360001,36.942501,35.284409,1.007976E8,1.007976E8,0.5675,1.56,36.80833,"July 13, 17",0.0156
2017-07-12,36.467499,36.544998,36.205002,36.435001,34.799683,9.9538E7,9.9538E7,-0.0325,-0.089,36.395,"July 12, 17",-8.9E-4
2017-07-11,36.182499,36.462502,36.095001,36.3825,34.749542,7.91272E7,7.91272E7,0.2,0.553,36.31333,"July 11, 17",0.00553
2017-07-10,36.0275,36.487499,35.842499,36.264999,34.637314,8.43624E7,8.43624E7,0.2375,0.659,36.19833,"July 10, 17",0.00659
2017-07-07,35.724998,36.1875,35.724998,36.044998,34.427189,7.68068E7,7.68068E7,0.32,0.896,35.98583,"July 07, 17",0.00896
2017-07-06,35.755001,35.875,35.602501,35.682499,34.080963,9.65152E7,9.65152E7,-0.0725,-0.203,35.72,"July 06, 17",-0.00203
2017-07-05,35.922501,36.197498,35.68,36.022499,34.405693,8.62784E7,8.62784E7,0.1,0.278,35.96667,"July 05, 17",0.00278
2017-07-03,36.220001,36.325001,35.775002,35.875,34.26482,5.71112E7,5.71112E7,-0.345,-0.953,35.99167,"July 03, 17",-0.00953
2017-06-30,36.112499,36.240002,35.945,36.005001,34.388985,9.20964E7,9.20964E7,-0.1075,-0.298,36.06333,"June 30, 17",-0.00298
2017-06-29,36.177502,36.282501,35.57,35.919998,34.3078,1.259976E8,1.259976E8,-0.2575,-0.712,35.92417,"June 29, 17",-0.00712
2017-06-28,36.122501,36.5275,35.790001,36.4575,34.821175,8.83296E7,8.83296E7,0.335,0.927,36.25833,"June 28, 17",0.00927
2017-06-27,36.252499,36.540001,35.904999,35.932499,34.319733,9.90476E7,9.90476E7,-0.32,-0.883,36.12583,"June 27, 17",-0.00883
2017-06-26,36.7925,37.07,36.345001,36.455002,34.818787,1.027696E8,1.027696E8,-0.3375,-0.917,36.62333,"June 26, 17",-0.00917
2017-06-23,36.282501,36.790001,36.2775,36.57,34.928623,1.417576E8,1.417576E8,0.2875,0.792,36.54583,"June 23, 17",0.00792
2017-06-22,36.442501,36.674999,36.279999,36.407501,34.773426,7.64252E7,7.64252E7,-0.035,-0.096,36.45417,"June 22, 17",-9.6E-4
2017-06-21,36.380001,36.517502,36.1525,36.467499,34.830727,8.50632E7,8.50632E7,0.0875,0.241,36.37917,"June 21, 17",0.00241
2017-06-20,36.717499,36.717499,36.235001,36.252499,34.625374,9.96004E7,9.96004E7,-0.465,-1.266,36.40167,"June 20, 17",-0.01266
2017-06-19,35.915001,36.685001,35.915001,36.584999,34.942951,1.301656E8,1.301656E8,0.67,1.866,36.395,"June 19, 17",0.01866
2017-06-16,35.945,36.125,35.549999,35.567501,33.971119,2.014444E8,2.014444E8,-0.3775,-1.05,35.7475,"June 16, 17",-0.0105
2017-06-15,35.830002,36.119999,35.552502,36.072498,34.453453,1.286616E8,1.286616E8,0.2425,0.677,35.915,"June 15, 17",0.00677
2017-06-14,36.875,36.875,35.959999,36.290001,34.661194,1.261248E8,1.261248E8,-0.585,-1.586,36.375,"June 14, 17",-0.01586
2017-06-13,36.790001,36.862499,36.287498,36.647499,35.002644,1.366616E8,1.366616E8,-0.1425,-0.387,36.59917,"June 13, 17",-0.00387
2017-06-12,36.435001,36.522499,35.627499,36.355,34.723278,2.892292E8,2.892292E8,-0.08,-0.22,36.16833,"June 12, 17",-0.0022
2017-06-09,38.797501,38.797501,36.505001,37.244999,35.573322,2.595308E8,2.595308E8,-1.5525,-4.002,37.51583,"June 09, 17",-0.04002
2017-06-08,38.8125,38.884998,38.599998,38.747501,37.008389,8.50032E7,8.50032E7,-0.065,-0.167,38.74417,"June 08, 17",-0.00167
2017-06-07,38.755001,38.994999,38.619999,38.842499,37.099125,8.42784E7,8.42784E7,0.0875,0.226,38.81917,"June 07, 17",0.00226
